PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
2016-01-28T07:40:12.000Z,chartguy89: 2016 Trending Stocks: RENT -8.21% Stock Charts $RENT Rentrak Corp. http://dlvr.it/KL9vBR,,,
2016-01-28T07:21:28.000Z,RENT -8.21% Stock Charts $RENT Rentrak Corp. (NASDAQ) Last Updated: 01/28/2016 01:21:41 RENT Stock Chart - 1 M http://investorshangout.com/post/view?id=3510938…,,,
2016-01-28T06:59:32.000Z,Hollywood Software Acquired By Rentrak http://ow.ly/3aEJG5 http://ow.ly/3aEJG5 http://ift.tt/19Wlj9j,,,
2016-01-28T06:57:07.000Z,Hollywood Software Acquired By Rentrak http://ow.ly/3aEJG5,,,
2016-01-28T03:26:28.000Z,Gud mng guys plz update the collection day wise given by rentrak India because its a believable site.airlift again.,,4,3
2016-01-28T02:36:40.000Z,"Replying to 
@Ravi_4prince@ravi_4prince
 @cinema_babu
 once private rentals rentrak lo padthe avi tracked kinde ga ochedi its all about distr who can manage n track it",,,
2016-01-28T02:36:40.000Z,"Replying to 
@Ravi_4prince@ravi_4prince
 @cinema_babu
 ee movie 2m kosam ila chesthunnaru but end f day v see only rentrak figs ",,,
2016-01-28T00:04:04.000Z,"In a bid to expand its analytic scope, Rentrak has purchased Hollywood Software: http://bizj.us/1l1k54",,,
2016-01-27T23:27:08.000Z,Rentrak Buys Hollywood Software (EXCLUSIVE) - Variety http://dlvr.it/KL2wGf,,,
2016-01-27T23:27:06.000Z,Rentrak Buys Hollywood Software (EXCLUSIVE) - Variety http://dlvr.it/KL2vT4,,,
2016-01-27T23:20:15.000Z,"#Rentrak Buys #HollywoodSoftware (
@Variety
) - http://ow.ly/XBSO4 #BoxOffice #media #distribution #sofwate #VOD #tvRentrak Buys Hollywood Software (EXCLUSIVE)
Box office specialist and media measurement researcher Rentrak has acquired distribution management concern Hollywood Software
variety.com",,,
2016-01-27T21:56:00.000Z,Rentrak Co. $RENT Sees Large Volume Increase http://ift.tt/205NjFh,,,
2016-01-27T21:54:04.000Z,Rentrak Co. $RENT Sees Large Volume Increase http://ift.tt/205NjFh,,,
2016-01-27T21:43:21.000Z,"Replying to 
@naveenkumar_345@naveenkumar_345
 @supersampangi
 Yes DKD with perfect rentrak tracking is 1.92 Million 
 but at that time no tracking properly",,,
2016-01-27T21:17:00.000Z,"Rentrak Corporation,  acquired Hollywood Software Inc. #acquisition http://mna.im/?a=MQu",,1,
2016-01-27T19:41:00.000Z,Rentrak Buys Movie Analytics Firm Hollywood Software http://mrweb.com/drno/news22125.htm… #mrx #marketresearch,,,
2016-01-27T19:32:56.000Z,Rentrak Buys Hollywood Software (Variety) http://ift.tt/1OOca85,,,
2016-01-27T19:26:45.000Z,"Rentrak (
@rentrak
) acquires Hollywood Software (
@hollywoodhsi
). View #OwlerReport: https://owler.com/iaApp/reports/56a919abe4b0506fdff0b498/rentrak-acquires-hollywood-software.htm?utm_source=twitter&utm_medium=social&utm_campaign=atsr…",,,
2016-01-27T19:16:13.000Z,Rentrak acquires Hollywood Software http://dlvr.it/KKz4Yp #data #storystream,,,
2016-01-27T19:16:13.000Z,Rentrak acquires Hollywood Software http://dlvr.it/KKz94M #storystream,,,
2016-01-27T19:16:13.000Z,Rentrak acquires Hollywood Software http://dlvr.it/KKz3Fc #storystream,,,
2016-01-27T18:40:32.000Z,"Replying to 
@SurfTidalWave@SurfTidalWave
 There's no pressure! It's a regular process from rentrak to collect Un reported #'s. Some respond & some don't. V responded!",3,19,11
2016-01-27T18:27:42.000Z,#NannakuPrematho Submitted Unreported Grosses to Rentrak & here is the official total gross w reported & Un reported,10,151,132
2016-01-27T18:00:25.000Z,"Rentrak Cross-Platform Entertainment Rankings – Jan. 27, 2016: By Michael TripAdvisor Logo… http://goo.gl/fb/02TXBl",,,
2016-01-27T17:51:50.000Z,"Rentrak (
@rentrak
) acquired Hollywood Software (
@hollywoodhsi
) for undisclosed amount https://owler.com/iaApp/153661/rentrak-company-profile?utm_source=twitter&utm_medium=social&utm_campaign=atsp…",,,
2016-01-27T17:48:22.000Z,"$2mn aaah how ya how?. NTR & NPT range ki $1Mn ye akkuva, i doubt Rentrak is now officially part of Mafia ",16,27,12
2016-01-27T17:35:30.000Z,Rentrak acquires Hollywood Software to provide a clearer picture of how films perform throughout their lifespans: http://bizj.us/1l1k54,,,1
2016-01-27T17:20:52.000Z,"@Rentrak
 named as one of 21 to Watch in TV and Cross Media Measurement  http://bit.ly/1lswul4 #media #advertising 
@Outsellinc",,,
2016-01-27T17:09:08.000Z,"Rentrak acquires Hollywood Software: In a bid to expand its analytic scope, Rentrak has purchased Hollywood… http://m.tbnn.it/KKwp15",,,
2016-01-27T17:09:04.000Z,Rentrak acquires Hollywood Software http://dlvr.it/KKwqY7 #LABiz,,,
2016-01-27T17:08:58.000Z,Rentrak acquires Hollywood Software http://dlvr.it/KKwmxQ,,,
2016-01-27T17:08:15.000Z,Rentrak acquires Hollywood Software http://ow.ly/XBcly,,,
2016-01-27T17:00:45.000Z,"Rentrak Cross-Platform Entertainment Rankings - Jan. 27, 2016 http://financialbuzz.com/rentrak-cross-platform-entertainment-rankings-jan-27-2016-394096…",,,
2016-01-27T17:00:15.000Z,"Rentrak Acquires Hollywood Software, Inc. http://financialbuzz.com/rentrak-acquires-hollywood-software-inc-393994…",,,
2016-01-27T15:02:22.000Z,"$RENT Rentrak Cross-Platform Entertainment Rankings -- Jan. 27,2016
From our Stock News Alerts App",,,
2016-01-27T14:08:02.000Z,"$RENT: Rentrak acquired Hollywood Software, terms not disclosed http://bit.ly/1OYzvC0",,,
2016-01-27T14:02:58.000Z,Rentrak Buys Hollywood Software http://bit.ly/1WNLx6g,,,
2016-01-27T14:01:10.000Z,#Hollywood Rentrak Buys Hollywood Software (EXCLUSIVE) - Variety http://dlvr.it/KKrxvv,,,
2016-01-27T13:56:28.000Z,Hollywood Software Acquired By Rentrak http://ift.tt/1VrcE60,,,
2016-01-27T13:47:54.000Z,"RT 
@socaltech
 Hollywood Software Acquired By Rentrak http://bit.ly/1WNKvY9",,,1
2016-01-27T13:47:54.000Z,Hollywood Software Acquired By Rentrak http://bit.ly/1WNKvY9,,,
2016-01-27T13:40:31.000Z,"Rentrak Acquires Hollywood Software, Inc. http://prn.to/23t4nEn",,,
2016-01-27T13:15:07.000Z,Rentrak (RENT) Acquires Hollywood Software - http://StreetInsider.com http://dlvr.it/KKr7Mf,,,
2016-01-27T13:09:39.000Z,"@Rentrak
 expands its capabilities in the movie industry with acquisition of 
@hollywoodhsi
 http://bit.ly/1KEXTqA",,1,
2016-01-27T13:05:13.000Z,Rentrak Acquires Hollywood Software http://bit.ly/1PDKjex,,,
2016-01-27T13:03:10.000Z,Rentrak (RENT) Acquires Hollywood Software http://dlvr.it/KKqrJK #data #storystream,,,
2016-01-27T13:03:10.000Z,Rentrak (RENT) Acquires Hollywood Software http://dlvr.it/KKqwBR #storystream,,,
2016-01-27T13:03:10.000Z,Rentrak (RENT) Acquires Hollywood Software http://dlvr.it/KKqqjN #storystream,,,
2016-01-27T12:58:09.000Z,".
@Rentrak
 confirms Hollywood Software acquisition http://bit.ly/1JEuMsp .
@hollywoodhsi
 MP",,1,
2016-01-27T12:54:57.000Z,"Box office specialist and media researcher 
@Rentrak
 has acquired distribution management concern #HollywoodSoftware for an undisclosed price",,,
2016-01-27T12:44:10.000Z,Rentrak (RENT) Acquires Hollywood Software - http://StreetInsider.com http://dlvr.it/KKqVCf,,,
2016-01-27T12:44:05.000Z,Rentrak (RENT) Acquires Hollywood Software - http://StreetInsider.com http://dlvr.it/KKqSf3,,,
2016-01-27T12:40:56.000Z,"Rentrak Buys Hollywood Software (EXCLUSIVE) http://variety.com/2016/film/news/rentrak-buys-hollywood-software-1201689575/… via 
@Variety",,,
2016-01-27T12:26:50.000Z,Rentrak Buys Hollywood Software (EXCLUSIVE) http://bit.ly/1QCsdIP,,,
2016-01-27T12:07:58.000Z,"Rentrak Acquires Hollywood Software, Inc. (NASDAQ:RENT) http://investor.rentrak.com/releasedetail.cfm?ReleaseID=951912…",,1,1
2016-01-27T12:02:28.000Z,"$RENT Rentrak Acquires Hollywood Software, Inc.
From our Stock News Alerts App",,,
2016-01-27T10:48:47.000Z,"Rentrak Buys Hollywood Software (EXCLUSIVE) http://variety.com/2016/film/news/rentrak-buys-hollywood-software-1201689575/… via 
@Variety",,,
2016-01-27T10:05:39.000Z,"Rentrak Buys Hollywood Software (EXCLUSIVE) http://variety.com/2016/film/news/rentrak-buys-hollywood-software-1201689575/… via 
@Variety",,,
2016-01-27T09:50:57.000Z,"Box office specialist and media researcher 
@Rentrak
 has acquired distribution management concern #HollywoodSoftware for an undisclosed price",,,
2016-01-27T09:38:05.000Z,Rentrak Buys Hollywood Software (EXCLUSIVE) #software http://dragplus.com/post/id/33389909…,,,
2016-01-27T06:22:06.000Z,Rentrak Buys Hollywood Software (EXCLUSIVE) - Variety http://dlvr.it/KKgb6w,,,
2016-01-27T06:22:04.000Z,Rentrak Buys Hollywood Software (EXCLUSIVE) - Variety http://dlvr.it/KKgYHd,,,
2016-01-27T05:54:05.000Z,Rentrak Buys Hollywood Software (EXCLUSIVE) http://dlvr.it/KKgDvC #hollywood,,,
2016-01-27T05:11:13.000Z,.Rentrak's Bill Livek &amp;  r2rothenberg discuss cracking the code of cross-platform measurement to wrap up #IABALM,,,
2016-01-27T05:01:40.000Z,Rentrak Buys Hollywood Software (EXCLUSIVE) http://twib.in/l/ezLqdqe7596 | https://twibble.io,,,
2016-01-27T04:46:28.000Z,Variety : Rentrak Buys Hollywood Software (EXCLUSIVE) - Box office specialist and media measurement researcher ... http://ow.ly/3aBPIU,,,1
2016-01-27T04:46:23.000Z,Rentrak Buys Hollywood Software (EXCLUSIVE) http://ow.ly/3aBPJK,,,
